name,total_supply,staked_supply,market_price,five_day_rate,staking_apy,index,staking_tvl,market_cap,staking_ratio
wonderland,1281049.881622523,1256498.22977911,570.56,9.633344074578499,82278.57512270713,12.400406111530685,716907629.982769,730915820.4585466,0.9808347417258124
papa-dao,6403906.112785208,5756267.332106793,0.769998,3.8951043509502403,1527.2006309897467,6.204097827,4432314.333187566,4930994.899032384,0.8988681643246732
snowbank,139915.620456355,76937.40245917,149.85,5.585351048294673,5185.27730179283,4.996687521,11529069.758506624,20966355.725384798,0.5498842960366223
maximizer,369109.802638404,250703.641494697,37.73,8.690239823354995,43743.976107969436,13.530018659,9459048.393594917,13926512.853546983,0.6792115508790677
fortressdao,1041039.036256349,972809.254540953,3.55,8.290702893773538,33408.54751130548,4.120586651,3453472.853620383,3695688.5787100387,0.9344599200038116
life-dao,404758.970751885,326722.991016801,3.66,3.7740100806216814,1394.4030513070338,6362.496542316,1195806.1471214916,1481417.8329518992,0.80720382900934
o2-dao,54.805609508,23.723059492,0.0,5.31783848061369,4291.788457746736,1.932320642,0.0,0.0,0.4328582366835485
piggy-bank,81195.579674408,28072.459688585,4.52,4.422973508163697,2255.6571236060427,9054.299576814,126887.5177924042,367004.0201283241,0.3457387680604631
r-u-generous,437126.352961157,363400.421085055,4.37,0.0,0.0,75797.985737979,1588059.8401416903,1910242.162440256,0.8313395397539592
tempo-dao,824343.799300118,628350.840926997,0.673472,7.087796436205207,14725.819002580778,7.284730964,423176.6975407865,555172.467202249,0.7622436675819939
hector-dao,3551544.186092807,3108005.381620145,23.22,6.600700200411858,10528.7987897299,7.11797397,72167884.96121976,82466856.00107497,0.8751138149401383
otterclam,468490.624536575,316998.223032214,5.98,4.232397257514564,1961.5744307511616,6.173093306,1895649.3737326397,2801573.934728719,0.6766372824339539
klima-dao,1980880.996409808,1703942.772560006,56.5,7.490099065255262,19393.858499621445,5.19167402,96272766.64964034,111919776.29715416,0.8601944163472056
xeus,61973.977266261,37134.309490836,4.18,14.940443142461678,2597183.1882927692,13.1332,155221.41367169446,259051.22497297096,0.5991919694179793
templardao,32264.984830789,27130.898747594,56.15,16.123975791734367,5486438.72569414,43.965015733,1523399.9646774032,1811678.8982488022,0.8408774679386871
nemesis-dao,81759.580541562,47586.736606891,95.17,11.40765304583038,265848.07333586254,14.903923062,4528829.722877816,7781059.280140456,0.582032543362922
metaversepro,195241.585644058,128258.125266315,25.21,0.0,0.0,3.0,3233387.337963801,4922040.374086702,0.656920116906551
pi-dao,592151.40306179,382945.841959062,0.0,9.226442559236347,62695.51251342335,4.147170465,0.0,0.0,0.6467025831214693
jade-protocol,1928012.340068231,813056.234856153,22.85,0.0,0.0,3.894292633,18578334.966463096,44055081.97055908,0.42170696626733184
galaxygoggle,113384.528906023,87912.30889416,70.24,17.64361663305476,14173847.138686473,2.502307291,6174960.576725798,7964129.310359055,0.7753465992439299
gryo-dao,126563.399920809,64303.264868233,0.0,5.436161835231057,4666.942640677728,11.58493286,0.0,0.0,0.508071566570333
hunny-dao,1301385.98640929,199018.12594969,0.0,0.0,0.0,4.55958914,0.0,0.0,0.1529278231271027
lobis,140481.827373609,95614.441575741,55.23,9.427624670686562,71723.89737890738,3.5722523,5280785.608228175,7758811.325844425,0.6806178661205484
squid,308.015428268,252.414457002,75841,8.38823513933793,35684.63340598011,4.848127105,19143364.833488684,23360198.095273387,0.819486408266464
cerberusdao,51855909.737330005,41784466.89035153,0.0045606,0.0,0.0,3.082759239,190562.23970013717,236494.06194806722,0.8057802302959454
olympus,10081618.506677847,7701028.32048807,67.95,0.0,0.0,46.721314322,523284874.37716436,685045977.5287597,0.7638682534344138
umami-finance,367687.5176768,266677.292129289,9.15,0.0,0.0,22.009765595,2440097.2229829947,3364340.7867427203,0.7252824186533856
rome,697983.579591809,588724.298779079,76.55,9.630375079241848,82115.87770786612,3.056452679,45066845.07153849,53430643.017752975,0.8434643965741624
